id,size,air distance matrix time,savings air time,savings air result,nn air time,nn air result,jsprit air time,jsprit air result,google air time,google air result,road distance matrix time,savings road time,savings road result,nn road time,nn road result,jsprit road time,jsprit road result,google road time,google road result,
problem_n140_79c294c8-a6a5-42db-aaec-0f04b2bc661b.vrp,140,47.0,2265.0,9363120.798260249197483062744140625,55.0,9740056.11704550869762897491455078125,92187.0,9196003.52357169799506664276123046875,1278.0,9265895.17573682405054569244384765625,57073.0,2260.0,9217495.83404819667339324951171875,57432.0,9630153.16002038680016994476318359375,131625.0,9060295.49043359421193599700927734375,1500.0,9070705.80681342445313930511474609375,
problem_n140_80a4c2a4-5ab5-4717-bd24-1c836e3e2d73.vrp,140,56.0,2915.0,9115045.665277458727359771728515625,69.0,9926423.1847194321453571319580078125,100043.0,9170380.65385891310870647430419921875,1494.0,9257875.34316225163638591766357421875,63823.0,2531.0,9089676.17185107804834842681884765625,61101.0,9752266.16362291388213634490966796875,102180.0,8990588.5155839361250400543212890625,1667.0,9079567.82367880083620548248291015625,
problem_n140_8545e64b-9476-4fdb-af8a-a74dc579b7fe.vrp,140,63.0,2214.0,7336754.573072847910225391387939453125,55.0,7901295.930833592079579830169677734375,92373.0,7370651.612504375167191028594970703125,1093.0,7509187.060841695405542850494384765625,56776.0,2139.0,7372426.42000015266239643096923828125,53646.0,8082828.06384365819394588470458984375,84610.0,7206298.360832653008401393890380859375,1313.0,7382208.40027945674955844879150390625,
problem_n140_8d5dcda8-4fbb-49a4-8345-65fdafe85a68.vrp,140,63.0,1984.0,6517429.68069046549499034881591796875,47.0,7065741.21091227233409881591796875,86750.0,6492983.967372861690819263458251953125,922.0,6672533.666314422152936458587646484375,49094.0,1969.0,6514996.553131998516619205474853515625,49078.0,7410643.955324185080826282501220703125,87563.0,6377182.982117244042456150054931640625,1313.0,6573193.941276765428483486175537109375,
problem_n140_9167b3f4-7390-4309-a424-cc135a602cbf.vrp,140,47.0,2125.0,9389018.31494348682463169097900390625,46.0,10009747.86357077024877071380615234375,78047.0,9338439.22838119231164455413818359375,1515.0,9324875.57333460636436939239501953125,52563.0,2125.0,9218534.9617667607963085174560546875,52516.0,9675414.6307535730302333831787109375,82547.0,9139956.5774294771254062652587890625,1188.0,9043540.94455967657268047332763671875,
problem_n140_daeb8a70-6e08-43fc-8226-2c9a52caa8c5.vrp,140,47.0,2062.0,7187165.05111368559300899505615234375,47.0,7992633.887193524278700351715087890625,86032.0,7231355.255842712707817554473876953125,1219.0,7465711.6790430955588817596435546875,53172.0,2047.0,7154974.745356882922351360321044921875,53203.0,7537080.05809077806770801544189453125,86031.0,7080148.357470211572945117950439453125,1234.0,7400489.493679753504693508148193359375,
problem_n140_e4a703f3-f6d2-482e-b9bf-be54e7a85ddb.vrp,140,47.0,1985.0,7392228.97756652720272541046142578125,47.0,8186484.4715877585113048553466796875,83782.0,7403633.41403600759804248809814453125,1875.0,7421068.63952918536961078643798828125,50953.0,1985.0,7149580.57030260562896728515625,51063.0,7863790.2228465937077999114990234375,87531.0,7124207.930594018660485744476318359375,1704.0,7432836.3437377028167247772216796875,
problem_n140_e9ed3ffc-ee07-4d57-9322-25fe4105a453.vrp,140,47.0,2032.0,7670686.074119648896157741546630859375,47.0,8244919.824548575095832347869873046875,84969.0,7693108.39083764143288135528564453125,1203.0,7820293.036384093575179576873779296875,51265.0,2031.0,7662155.971265275962650775909423828125,51031.0,8315666.146141038276255130767822265625,81188.0,7574735.43261075206100940704345703125,1203.0,7590194.12095464766025543212890625,
problem_n140_ed39f5e3-f717-44dd-a5cd-db32d303cbe1.vrp,140,47.0,2219.0,8963376.9031641483306884765625,47.0,9233404.38290639780461788177490234375,85063.0,8805500.1319586746394634246826171875,1203.0,8758596.758573763072490692138671875,54407.0,2188.0,8727077.40902656503021717071533203125,54157.0,9043715.13653049804270267486572265625,87516.0,8574010.67433141171932220458984375,1390.0,8757252.829608090221881866455078125,
id,size,air distance matrix time,savings air time,savings air result,nn air time,nn air result,jsprit air time,jsprit air result,google air time,google air result,road distance matrix time,savings road time,savings road result,nn road time,nn road result,jsprit road time,jsprit road result,google road time,google road result,
problem_n150_0653ac2d-a4b0-40ae-82c7-89947ded0a22.vrp,150,47.0,2406.0,7165415.28162553347647190093994140625,47.0,7582611.109345304779708385467529296875,94344.0,7297723.838272958062589168548583984375,1438.0,7338970.6757165156304836273193359375,61219.0,2375.0,7143474.42368291504681110382080078125,60953.0,7806683.07398378849029541015625,86672.0,7174968.962264307774603366851806640625,1188.0,7055224.57604884169995784759521484375,
problem_n150_1f54e254-62f2-4c3c-9d81-8e449a8cc0be.vrp,150,47.0,2656.0,7794716.7673935778439044952392578125,47.0,8925487.2828485704958438873291015625,96110.0,7742261.464231914840638637542724609375,1750.0,7879727.239129177294671535491943359375,60516.0,2515.0,7692227.82429466955363750457763671875,59969.0,8521117.8028250671923160552978515625,90797.0,7638088.863516450859606266021728515625,1329.0,7807648.18900975398719310760498046875,
problem_n150_3cf093a0-d699-4530-b81c-b714e8767bf7.vrp,150,47.0,2718.0,9670220.686480902135372161865234375,63.0,10291066.3956578336656093597412109375,
